class,order,family,genus,species,haploid
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,76.5
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,81
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,75
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,78
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,78
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,78
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,81
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,78
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,81
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,78
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,75
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,49
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,80
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,75
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,75
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,75
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,78
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,75
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,75
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,52
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,78
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,103
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,75
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,78
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_auratus,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_carassius,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_carassius,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_carassius,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_carassius,25
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_carassius,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_cuvieri,50
Actinopteri,Cypriniformes,Cyprinidae,carassius,Carassius_cuvieri,50
Actinopteri,Cypriniformes,Cyprinidae,catla,Catla_catla,25
Actinopteri,Cypriniformes,Cyprinidae,catla,Catla_catla,25
Actinopteri,Cypriniformes,Cyprinidae,catla,Catla_catla,25
Actinopteri,Cypriniformes,Cyprinidae,catlocarpio,Catlocarpio_siamensis,49
Actinopteri,Cypriniformes,Cyprinidae,chagunius,Chagunius_chagunio,25
