Family,Genus,Species,species,haploid
Brassicaceae,Aethionema,umbellatum,Aethionema_umbellatum,12
Brassicaceae,Alliaria,Alliaria petiolata,Alliaria_alliaria petiolata,21
Brassicaceae,Alliaria,officinalis,Alliaria_officinalis,21
Brassicaceae,Alliaria,petiolata,Alliaria_petiolata,21
Brassicaceae,Alliaria,petiolata (M. BIEB.) CAVARA et GRANDE,Alliaria_petiolata (m. bieb.) cavara et grande,21
Brassicaceae,Alyssoides,bulgarica,Alyssoides_bulgarica,8
Brassicaceae,Alyssoides,cretica,Alyssoides_cretica,8
Brassicaceae,Alyssoides,graeca,Alyssoides_graeca,8
Brassicaceae,Alyssoides,utriculata,Alyssoides_utriculata,8
Brassicaceae,Alyssopsis,mollis,Alyssopsis_mollis,8
Brassicaceae,Alyssum,Alyssum alyssoides,Alyssum_alyssum alyssoides,16
Brassicaceae,Alyssum,Alyssum saxatile,Alyssum_alyssum saxatile,8
Brassicaceae,Alyssum,alpestre,Alyssum_alpestre,8
Brassicaceae,Alyssum,alyssoides,Alyssum_alyssoides,16
Brassicaceae,Alyssum,alyssoides (L.) L.,Alyssum_alyssoides (l.) l.,16
Brassicaceae,Alyssum,americanum,Alyssum_americanum,15
Brassicaceae,Alyssum,antiatlanticum,Alyssum_antiatlanticum,8
Brassicaceae,Alyssum,arenarium,Alyssum_arenarium,16
Brassicaceae,Alyssum,argenteum,Alyssum_argenteum,8
Brassicaceae,Alyssum,argyrophyllum,Alyssum_argyrophyllum,8
Brassicaceae,Alyssum,armenum,Alyssum_armenum,16
Brassicaceae,Alyssum,atlanticum,Alyssum_atlanticum,8
Brassicaceae,Alyssum,atlanticus,Alyssum_atlanticus,8
Brassicaceae,Alyssum,aurantiacum,Alyssum_aurantiacum,8
Brassicaceae,Alyssum,baetica,Alyssum_baetica,11
Brassicaceae,Alyssum,bertolonii,Alyssum_bertolonii,8
Brassicaceae,Alyssum,bertolonii subsp. scutarinum,Alyssum_bertolonii subsp. scutarinum,8
Brassicaceae,Alyssum,biovulatum,Alyssum_biovulatum,16
Brassicaceae,Alyssum,bornmuelleri,Alyssum_bornmuelleri,8
Brassicaceae,Alyssum,borzaeanum,Alyssum_borzaeanum,8
Brassicaceae,Alyssum,bracteatum,Alyssum_bracteatum,8
Brassicaceae,Alyssum,caliacrae,Alyssum_caliacrae,16
Brassicaceae,Alyssum,callichroum,Alyssum_callichroum,24
Brassicaceae,Alyssum,calycinum,Alyssum_calycinum,16
Brassicaceae,Alyssum,calycocarpum,Alyssum_calycocarpum,8
Brassicaceae,Alyssum,campestre,Alyssum_campestre,8
Brassicaceae,Alyssum,cassium,Alyssum_cassium,16
Brassicaceae,Alyssum,chlorocarpum,Alyssum_chlorocarpum,8
Brassicaceae,Alyssum,cilicicum,Alyssum_cilicicum,8
Brassicaceae,Alyssum,cochleata,Alyssum_cochleata,11
Brassicaceae,Alyssum,condensatum,Alyssum_condensatum,8
Brassicaceae,Alyssum,condensatum subsp. flexible,Alyssum_condensatum subsp. flexible,8
Brassicaceae,Alyssum,contemptum,Alyssum_contemptum,8
Brassicaceae,Alyssum,corsicum,Alyssum_corsicum,8
Brassicaceae,Alyssum,corymbosoides,Alyssum_corymbosoides,16
Brassicaceae,Alyssum,cuneifolium,Alyssum_cuneifolium,24
Brassicaceae,Alyssum,cypricum,Alyssum_cypricum,16
Brassicaceae,Alyssum,daghestanicum,Alyssum_daghestanicum,16
Brassicaceae,Alyssum,damascenum,Alyssum_damascenum,16
Brassicaceae,Alyssum,dasycarpum,Alyssum_dasycarpum,8
Brassicaceae,Alyssum,desertorum,Alyssum_desertorum,16
Brassicaceae,Alyssum,diffusum,Alyssum_diffusum,8
Brassicaceae,Alyssum,doerfleri,Alyssum_doerfleri,8
Brassicaceae,Alyssum,embergeri,Alyssum_embergeri,8
Brassicaceae,Alyssum,erosulum,Alyssum_erosulum,8
Brassicaceae,Alyssum,euboeum,Alyssum_euboeum,8
Brassicaceae,Alyssum,fallacinum,Alyssum_fallacinum,8
Brassicaceae,Alyssum,floribundum,Alyssum_floribundum,8
Brassicaceae,Alyssum,foliosum,Alyssum_foliosum,8
Brassicaceae,Alyssum,fragillimum,Alyssum_fragillimum,8
Brassicaceae,Alyssum,fulvescens,Alyssum_fulvescens,8
Brassicaceae,Alyssum,giosnanum,Alyssum_giosnanum,16
Brassicaceae,Alyssum,gmelinii,Alyssum_gmelinii,16
Brassicaceae,Alyssum,granatense,Alyssum_granatense,24
Brassicaceae,Alyssum,handelii,Alyssum_handelii,8
Brassicaceae,Alyssum,heldreichii,Alyssum_heldreichii,8
Brassicaceae,Alyssum,heterotrichum,Alyssum_heterotrichum,8
Brassicaceae,Alyssum,hirsutum,Alyssum_hirsutum,24
Brassicaceae,Alyssum,hirsutum subsp. caespitosum,Alyssum_hirsutum subsp. caespitosum,23
Brassicaceae,Alyssum,homalocarpum,Alyssum_homalocarpum,8
Brassicaceae,Alyssum,huber-morathii,Alyssum_huber-morathii,8
Brassicaceae,Alyssum,huetii,Alyssum_huetii,7
Brassicaceae,Alyssum,idaeum,Alyssum_idaeum,8
Brassicaceae,Alyssum,kotovii,Alyssum_kotovii,8
Brassicaceae,Alyssum,lanigerum,Alyssum_lanigerum,16
Brassicaceae,Alyssum,lassiticum,Alyssum_lassiticum,8
Brassicaceae,Alyssum,lenense,Alyssum_lenense,8
Brassicaceae,Alyssum,lepido-stellatum,Alyssum_lepido-stellatum,16
Brassicaceae,Alyssum,lepidoto-stellatum,Alyssum_lepidoto-stellatum,16
Brassicaceae,Alyssum,linifolium,Alyssum_linifolium,8
Brassicaceae,Alyssum,linifolium var. teheranicum,Alyssum_linifolium var. teheranicum,8
Brassicaceae,Alyssum,loiseleurii,Alyssum_loiseleurii,8
Brassicaceae,Alyssum,lusitanicum,Alyssum_lusitanicum,8
Brassicaceae,Alyssum,macrocalyx,Alyssum_macrocalyx,8
Brassicaceae,Alyssum,marginatum,Alyssum_marginatum,16
Brassicaceae,Alyssum,markgrafii,Alyssum_markgrafii,16
Brassicaceae,Alyssum,masmenaeum,Alyssum_masmenaeum,8
Brassicaceae,Alyssum,medium,Alyssum_medium,24
Brassicaceae,Alyssum,memiocoides,Alyssum_memiocoides,20
Brassicaceae,Alyssum,meniocoides,Alyssum_meniocoides,8
Brassicaceae,Alyssum,minus,Alyssum_minus,8
Brassicaceae,Alyssum,minutum,Alyssum_minutum,8
Brassicaceae,Alyssum,moellendorfianum,Alyssum_moellendorfianum,8
Brassicaceae,Alyssum,montanam,Alyssum_montanam,16
Brassicaceae,Alyssum,montanum,Alyssum_montanum,16
Brassicaceae,Alyssum,montanum subsp. gmelinii,Alyssum_montanum subsp. gmelinii,16
Brassicaceae,Alyssum,mouradicum,Alyssum_mouradicum,8
Brassicaceae,Alyssum,murale,Alyssum_murale,8
Brassicaceae,Alyssum,nebrodense,Alyssum_nebrodense,8
Brassicaceae,Alyssum,nevadense,Alyssum_nevadense,8
Brassicaceae,Alyssum,ninutum,Alyssum_ninutum,8
Brassicaceae,Alyssum,obovatum,Alyssum_obovatum,8
Brassicaceae,Alyssum,obtusifolium,Alyssum_obtusifolium,16
Brassicaceae,Alyssum,orbelicum,Alyssum_orbelicum,32
Brassicaceae,Alyssum,ovirense,Alyssum_ovirense,8
Brassicaceae,Alyssum,oxycarpum,Alyssum_oxycarpum,8
Brassicaceae,Alyssum,parviflorum,Alyssum_parviflorum,8
Brassicaceae,Alyssum,pateri,Alyssum_pateri,16
Brassicaceae,Alyssum,pogonocarpum,Alyssum_pogonocarpum,8
Brassicaceae,Alyssum,praecox,Alyssum_praecox,16
Brassicaceae,Alyssum,propinquum,Alyssum_propinquum,32
Brassicaceae,Alyssum,psilocarpum,Alyssum_psilocarpum,8
Brassicaceae,Alyssum,pulvinare,Alyssum_pulvinare,16
Brassicaceae,Alyssum,pyrenaicum,Alyssum_pyrenaicum,16
Brassicaceae,Alyssum,re,Alyssum_re,24
Brassicaceae,Alyssum,reiserii,Alyssum_reiserii,8
Brassicaceae,Alyssum,repens,Alyssum_repens,8
Brassicaceae,Alyssum,repens subsp. trichostachyum,Alyssum_repens subsp. trichostachyum,24
Brassicaceae,Alyssum,robertianum,Alyssum_robertianum,8
Brassicaceae,Alyssum,rostratum,Alyssum_rostratum,8
Brassicaceae,Alyssum,saxatile,Alyssum_saxatile,8
Brassicaceae,Alyssum,scardicum,Alyssum_scardicum,16
Brassicaceae,Alyssum,scutigerum,Alyssum_scutigerum,8
Brassicaceae,Alyssum,sergievskajae,Alyssum_sergievskajae,16
Brassicaceae,Alyssum,serpyllifolium,Alyssum_serpyllifolium,8
Brassicaceae,Alyssum,serpyllifoliumDesf.,Alyssum_serpyllifoliumdesf.,8
Brassicaceae,Alyssum,sibiricum,Alyssum_sibiricum,8
Brassicaceae,Alyssum,siculum,Alyssum_siculum,24
Brassicaceae,Alyssum,simplex,Alyssum_simplex,8
Brassicaceae,Alyssum,simulans,Alyssum_simulans,16
Brassicaceae,Alyssum,slmulans,Alyssum_slmulans,16
Brassicaceae,Alyssum,smolikanum,Alyssum_smolikanum,16
Brassicaceae,Alyssum,smyrnaeum,Alyssum_smyrnaeum,8
Brassicaceae,Alyssum,sphacioticum,Alyssum_sphacioticum,8
Brassicaceae,Alyssum,stapfii,Alyssum_stapfii,24
Brassicaceae,Alyssum,stribrnyi,Alyssum_stribrnyi,16
Brassicaceae,Alyssum,stribryni,Alyssum_stribryni,16
Brassicaceae,Alyssum,strictum,Alyssum_strictum,8
Brassicaceae,Alyssum,strigosum,Alyssum_strigosum,8
Brassicaceae,Alyssum,szovitsianum,Alyssum_szovitsianum,8
Brassicaceae,Alyssum,szowitsianum,Alyssum_szowitsianum,8
Brassicaceae,Alyssum,taygeteum,Alyssum_taygeteum,8
Brassicaceae,Alyssum,tenuifolium,Alyssum_tenuifolium,46
Brassicaceae,Alyssum,tortuosum,Alyssum_tortuosum,8
Brassicaceae,Alyssum,tortuosum subsp. caliacrae,Alyssum_tortuosum subsp. caliacrae,16
Brassicaceae,Alyssum,transsilvanicum,Alyssum_transsilvanicum,8
Brassicaceae,Alyssum,transsylvanicum,Alyssum_transsylvanicum,8
Brassicaceae,Alyssum,trichostachyum,Alyssum_trichostachyum,8
Brassicaceae,Alyssum,troodi,Alyssum_troodi,8
Brassicaceae,Alyssum,turgidum,Alyssum_turgidum,8
Brassicaceae,Alyssum,turkestanicum,Alyssum_turkestanicum,16
Brassicaceae,Alyssum,umbellatum,Alyssum_umbellatum,7
Brassicaceae,Alyssum,wierzbickii,Alyssum_wierzbickii,8
Brassicaceae,Alyssum,wulfenianum,Alyssum_wulfenianum,16
Brassicaceae,Anastatica,hierochuntica,Anastatica_hierochuntica,11
Brassicaceae,Anchonium,elichrysifolium,Anchonium_elichrysifolium,7
Brassicaceae,Anchonium,elichrysifolium subsp. persicum,Anchonium_elichrysifolium subsp. persicum,8
Brassicaceae,Anelsonia,eurycarpa,Anelsonia_eurycarpa,7
Brassicaceae,Aphragmus,eschscholtzianus,Aphragmus_eschscholtzianus,7
Brassicaceae,Aphragmus,obscura,Aphragmus_obscura,8
Brassicaceae,Aphragmus,obscurus,Aphragmus_obscurus,8
Brassicaceae,Arabidella,trisecta,Arabidella_trisecta,12
Brassicaceae,Arabidopsis,Arabidopsis thaliana,Arabidopsis_arabidopsis thaliana,5
Brassicaceae,Arabidopsis,Arabis petraea,Arabidopsis_arabis petraea,8
Brassicaceae,Arabidopsis,arenicola,Arabidopsis_arenicola,8
Brassicaceae,Arabidopsis,arenosa,Arabidopsis_arenosa,16
Brassicaceae,Arabidopsis,arenosa L.,Arabidopsis_arenosa l.,16
Brassicaceae,Arabidopsis,carpatica,Arabidopsis_carpatica,16
Brassicaceae,Arabidopsis,cebennensis,Arabidopsis_cebennensis,8
Brassicaceae,Arabidopsis,gemmifera,Arabidopsis_gemmifera,8
Brassicaceae,Arabidopsis,haleri,Arabidopsis_haleri,8
Brassicaceae,Arabidopsis,halleri,Arabidopsis_halleri,8
Brassicaceae,Arabidopsis,halleri (L.) HAYEK,Arabidopsis_halleri (l.) hayek,8
Brassicaceae,Arabidopsis,halleri subsp. ovirensis,Arabidopsis_halleri subsp. ovirensis,8
Brassicaceae,Arabidopsis,hispida,Arabidopsis_hispida,8
Brassicaceae,Arabidopsis,kamchatica,Arabidopsis_kamchatica,16
Brassicaceae,Arabidopsis,lyrata,Arabidopsis_lyrata,8
Brassicaceae,Arabidopsis,lyrata subsp. kamchatica,Arabidopsis_lyrata subsp. kamchatica,8
Brassicaceae,Arabidopsis,lyrata subsp. petraea,Arabidopsis_lyrata subsp. petraea,8
Brassicaceae,Arabidopsis,media,Arabidopsis_media,8
Brassicaceae,Arabidopsis,neglecta,Arabidopsis_neglecta,8
Brassicaceae,Arabidopsis,neglecta (SCHULT.) HAYEK,Arabidopsis_neglecta (schult.) hayek,8
Brassicaceae,Arabidopsis,neglecta*,Arabidopsis_neglecta*,8
Brassicaceae,Arabidopsis,petraea,Arabidopsis_petraea,8
Brassicaceae,Arabidopsis,petrogena,Arabidopsis_petrogena,8
Brassicaceae,Arabidopsis,petrogena*,Arabidopsis_petrogena*,16
Brassicaceae,Arabidopsis,suecica,Arabidopsis_suecica,13
Brassicaceae,Arabidopsis,suecicum,Arabidopsis_suecicum,14
Brassicaceae,Arabidopsis,thaliana,Arabidopsis_thaliana,5
Brassicaceae,Arabidopsis,thalianum,Arabidopsis_thalianum,5
Brassicaceae,Arabidopsis,umbrosa,Arabidopsis_umbrosa,8
Brassicaceae,Arabis,Arabis alpina,Arabis_arabis alpina,8
Brassicaceae,Arabis,Arabis caucasica,Arabis_arabis caucasica,8
Brassicaceae,Arabis,Arabis collina,Arabis_arabis collina,8
Brassicaceae,Arabis,Arabis hirsuta,Arabis_arabis hirsuta,16
Brassicaceae,Arabis,Arabis scabra,Arabis_arabis scabra,8
Brassicaceae,Arabis,Arabis turrita,Arabis_arabis turrita,8
Brassicaceae,Arabis,aculeolata,Arabis_aculeolata,16
Brassicaceae,Arabis,albida,Arabis_albida,8
Brassicaceae,Arabis,allionii,Arabis_allionii,8
Brassicaceae,Arabis,alpestris,Arabis_alpestris,8
Brassicaceae,Arabis,alpina,Arabis_alpina,8
Brassicaceae,Arabis,alpina L.,Arabis_alpina l.,8
Brassicaceae,Arabis,amplexicaulis,Arabis_amplexicaulis,16
Brassicaceae,Arabis,arenicola,Arabis_arenicola,8
Brassicaceae,Arabis,ariana,Arabis_ariana,8
Brassicaceae,Arabis,aucheri,Arabis_aucheri,8
Brassicaceae,Arabis,auriculata,Arabis_auriculata,8
Brassicaceae,Arabis,bleparophylla,Arabis_bleparophylla,8
Brassicaceae,Arabis,blepharophylla,Arabis_blepharophylla,8
Brassicaceae,Arabis,borealis,Arabis_borealis,16
Brassicaceae,Arabis,brachycarpa,Arabis_brachycarpa,8
Brassicaceae,Arabis,brownii,Arabis_brownii,16
Brassicaceae,Arabis,bryoides,Arabis_bryoides,8
Brassicaceae,Arabis,caerulea,Arabis_caerulea,8
Brassicaceae,Arabis,carduchorum,Arabis_carduchorum,8
Brassicaceae,Arabis,caucasica,Arabis_caucasica,8
Brassicaceae,Arabis,christiani,Arabis_christiani,16
Brassicaceae,Arabis,ciliata,Arabis_ciliata,8
Brassicaceae,Arabis,coerulea,Arabis_coerulea,8
Brassicaceae,Arabis,collina,Arabis_collina,16
Brassicaceae,Arabis,conringioides,Arabis_conringioides,7
Brassicaceae,Arabis,constancei,Arabis_constancei,7
Brassicaceae,Arabis,corymbiflora,Arabis_corymbiflora,8
Brassicaceae,Arabis,cretica,Arabis_cretica,8
Brassicaceae,Arabis,crucisetosa,Arabis_crucisetosa,16
Brassicaceae,Arabis,cypria,Arabis_cypria,7
Brassicaceae,Arabis,divaricarpa,Arabis_divaricarpa,7
Brassicaceae,Arabis,eschscholtziana,Arabis_eschscholtziana,32
Brassicaceae,Arabis,ferdinandi-coburgii,Arabis_ferdinandi-coburgii,9
Brassicaceae,Arabis,flagellosa var. kawachiensis,Arabis_flagellosa var. kawachiensis,16
Brassicaceae,Arabis,gerardii,Arabis_gerardii,8
Brassicaceae,Arabis,glauca,Arabis_glauca,8
Brassicaceae,Arabis,hirsuta,Arabis_hirsuta,16
Brassicaceae,Arabis,hirsuta (L.) SCOP. s.str.,Arabis_hirsuta (l.) scop. s.str.,16
Brassicaceae,Arabis,hirsuta var. brownii,Arabis_hirsuta var. brownii,16
Brassicaceae,Arabis,hornungiana,Arabis_hornungiana,16
Brassicaceae,Arabis,ionocalyx,Arabis_ionocalyx,8
Brassicaceae,Arabis,iwatensis,Arabis_iwatensis,16
Brassicaceae,Arabis,jacquini,Arabis_jacquini,8
Brassicaceae,Arabis,jacquinii,Arabis_jacquinii,8
Brassicaceae,Arabis,japonica,Arabis_japonica,8
Brassicaceae,Arabis,juressi,Arabis_juressi,16
Brassicaceae,Arabis,kandingensis,Arabis_kandingensis,14
Brassicaceae,Arabis,kangdingensis,Arabis_kangdingensis,14
Brassicaceae,Arabis,lusitanica,Arabis_lusitanica,8
Brassicaceae,Arabis,macdonaldiana,Arabis_macdonaldiana,8
Brassicaceae,Arabis,minor,Arabis_minor,16
Brassicaceae,Arabis,modesta,Arabis_modesta,16
Brassicaceae,Arabis,mollis,Arabis_mollis,16
Brassicaceae,Arabis,morrisonensis,Arabis_morrisonensis,12
Brassicaceae,Arabis,muralis,Arabis_muralis,8
Brassicaceae,Arabis,nemorensis,Arabis_nemorensis,8
Brassicaceae,Arabis,nordmanniana,Arabis_nordmanniana,8
Brassicaceae,Arabis,nova,Arabis_nova,8
Brassicaceae,Arabis,oregana,Arabis_oregana,16
Brassicaceae,Arabis,parvula,Arabis_parvula,16
Brassicaceae,Arabis,pendula,Arabis_pendula,8
Brassicaceae,Arabis,petiolaris,Arabis_petiolaris,14
Brassicaceae,Arabis,petraea,Arabis_petraea,8
Brassicaceae,Arabis,pieninica WO?.,Arabis_pieninica wo?.,8
Brassicaceae,Arabis,planisiliqua,Arabis_planisiliqua,8
Brassicaceae,Arabis,planisiliqua (RHB.) PERS.,Arabis_planisiliqua (rhb.) pers.,8
Brassicaceae,Arabis,planisiliqua subsp. nemorensis,Arabis_planisiliqua subsp. nemorensis,8
Brassicaceae,Arabis,planisilique,Arabis_planisilique,8
Brassicaceae,Arabis,procurrens,Arabis_procurrens,8
Brassicaceae,Arabis,pterosperma,Arabis_pterosperma,8
Brassicaceae,Arabis,pubescens,Arabis_pubescens,8
Brassicaceae,Arabis,pubescens subsp. decumbens,Arabis_pubescens subsp. decumbens,8
Brassicaceae,Arabis,pumila,Arabis_pumila,16
Brassicaceae,Arabis,purpurea,Arabis_purpurea,8
Brassicaceae,Arabis,pycnocarpa,Arabis_pycnocarpa,16
Brassicaceae,Arabis,recta,Arabis_recta,8
Brassicaceae,Arabis,rosea,Arabis_rosea,16
Brassicaceae,Arabis,rupestre,Arabis_rupestre,28
Brassicaceae,Arabis,sachokiana,Arabis_sachokiana,8
Brassicaceae,Arabis,sadina,Arabis_sadina,16
Brassicaceae,Arabis,sagittata,Arabis_sagittata,8
Brassicaceae,Arabis,scabra,Arabis_scabra,8
Brassicaceae,Arabis,serpillifolia,Arabis_serpillifolia,8
Brassicaceae,Arabis,serpyllifolia,Arabis_serpyllifolia,8
Brassicaceae,Arabis,serrata,Arabis_serrata,16
Brassicaceae,Arabis,soyeri,Arabis_soyeri,8
Brassicaceae,Arabis,soyeri REUT. et A. HUET,Arabis_soyeri reut. et a. huet,8
Brassicaceae,Arabis,soyeri subsp. subcoriacea,Arabis_soyeri subsp. subcoriacea,8
Brassicaceae,Arabis,stelleri,Arabis_stelleri,16
Brassicaceae,Arabis,stellulata,Arabis_stellulata,8
Brassicaceae,Arabis,stenocarpa,Arabis_stenocarpa,8
Brassicaceae,Arabis,stricta,Arabis_stricta,8
Brassicaceae,Arabis,sudetica,Arabis_sudetica,8
Brassicaceae,Arabis,tenuirostris,Arabis_tenuirostris,8
Brassicaceae,Arabis,tenuisiliqua,Arabis_tenuisiliqua,8
Brassicaceae,Arabis,tibetica,Arabis_tibetica,8
Brassicaceae,Arabis,turrita,Arabis_turrita,8
Brassicaceae,Arabis,verna,Arabis_verna,16
Brassicaceae,Arabis,vochinenesis,Arabis_vochinenesis,8
Brassicaceae,Arabis,vochinensis,Arabis_vochinensis,8
Brassicaceae,Armoracia,Armoracia rusticana,Armoracia_armoracia rusticana,16
Brassicaceae,Armoracia,lapathifolia,Armoracia_lapathifolia,16
Brassicaceae,Armoracia,lapatifolia,Armoracia_lapatifolia,16
Brassicaceae,Armoracia,macrocarpa,Armoracia_macrocarpa,16
Brassicaceae,Armoracia,rusticana,Armoracia_rusticana,16
Brassicaceae,Armoracia,"rusticana P. GAERTN., B. MEY. et SCHERB.","Armoracia_rusticana p. gaertn., b. mey. et scherb.",16
Brassicaceae,Armoracia,sisymbrioides,Armoracia_sisymbrioides,16
Brassicaceae,Asperuginoides,axillaris,Asperuginoides_axillaris,8
Brassicaceae,Asta,schaffneri,Asta_schaffneri,10
Brassicaceae,Asta,schaffneri var. pringlei,Asta_schaffneri var. pringlei,10
Brassicaceae,Athysanus,pusillus,Athysanus_pusillus,13
Brassicaceae,Aubrieta,Aubrieta deltoidea,Aubrieta_aubrieta deltoidea,8
Brassicaceae,Aubrieta,columnae,Aubrieta_columnae,8
Brassicaceae,Aubrieta,croatica,Aubrieta_croatica,16
Brassicaceae,Aubrieta,deltoidea,Aubrieta_deltoidea,8
Brassicaceae,Aubrieta,erubescens,Aubrieta_erubescens,8
Brassicaceae,Aubrieta,gracilis,Aubrieta_gracilis,8
Brassicaceae,Aubrieta,gracilis subsp. scardica,Aubrieta_gracilis subsp. scardica,16
Brassicaceae,Aubrieta,intermedia,Aubrieta_intermedia,8
Brassicaceae,Aubrieta,libanotica,Aubrieta_libanotica,8
Brassicaceae,Aubrieta,parviflora,Aubrieta_parviflora,8
Brassicaceae,Aubrieta,scyria,Aubrieta_scyria,8
Brassicaceae,Aurinia,corymbosa,Aurinia_corymbosa,8
Brassicaceae,Aurinia,corymbosum,Aurinia_corymbosum,8
Brassicaceae,Aurinia,cyclocarpum,Aurinia_cyclocarpum,8
Brassicaceae,Aurinia,edentulum,Aurinia_edentulum,8
Brassicaceae,Aurinia,gionae,Aurinia_gionae,8
Brassicaceae,Aurinia,leucadea,Aurinia_leucadea,8
Brassicaceae,Aurinia,leucadeum,Aurinia_leucadeum,8
Brassicaceae,Aurinia,moreana,Aurinia_moreana,8
Brassicaceae,Aurinia,orientale,Aurinia_orientale,8
Brassicaceae,Aurinia,petraea,Aurinia_petraea,8
Brassicaceae,Aurinia,rupestre,Aurinia_rupestre,8
Brassicaceae,Aurinia,rupestris,Aurinia_rupestris,8
Brassicaceae,Aurinia,rupestris subsp. cyclocarpa,Aurinia_rupestris subsp. cyclocarpa,8
Brassicaceae,Aurinia,saxatile,Aurinia_saxatile,8
Brassicaceae,Aurinia,saxatilis,Aurinia_saxatilis,8
Brassicaceae,Aurinia,saxatilis subsp. megalocarpa,Aurinia_saxatilis subsp. megalocarpa,8
Brassicaceae,Aurinia,saxatilis subsp. orientalis,Aurinia_saxatilis subsp. orientalis,8
Brassicaceae,Aurinia,sinuata,Aurinia_sinuata,8
Brassicaceae,Aurinia,uechtritziana,Aurinia_uechtritziana,8
Brassicaceae,Aurinia,uechtritzianum,Aurinia_uechtritzianum,8
Brassicaceae,Ballantinia,antipoda,Ballantinia_antipoda,6
Brassicaceae,Barbarea,Barbarea intermedia,Barbarea_barbarea intermedia,8
Brassicaceae,Barbarea,Barbarea verna,Barbarea_barbarea verna,8
Brassicaceae,Barbarea,Barbarea vulgaris,Barbarea_barbarea vulgaris,8
Brassicaceae,Barbarea,arcuata,Barbarea_arcuata,8
Brassicaceae,Barbarea,arcuata RCHB.,Barbarea_arcuata rchb.,8
Brassicaceae,Barbarea,balcana,Barbarea_balcana,8
Brassicaceae,Barbarea,bosniaca,Barbarea_bosniaca,8
Brassicaceae,Barbarea,bracteosa,Barbarea_bracteosa,8
Brassicaceae,Barbarea,hondoensis,Barbarea_hondoensis,8
Brassicaceae,Barbarea,intermedia,Barbarea_intermedia,8
Brassicaceae,Barbarea,intermedia BOREAU,Barbarea_intermedia boreau,8
Brassicaceae,Barbarea,minor,Barbarea_minor,8
Brassicaceae,Barbarea,orthoceras,Barbarea_orthoceras,8
Brassicaceae,Barbarea,othoceras,Barbarea_othoceras,8
Brassicaceae,Barbarea,plantaginea,Barbarea_plantaginea,8
Brassicaceae,Barbarea,praecox,Barbarea_praecox,8
Brassicaceae,Barbarea,rupicola,Barbarea_rupicola,8
Brassicaceae,Barbarea,sicula,Barbarea_sicula,8
Brassicaceae,Barbarea,stricta,Barbarea_stricta,8
Brassicaceae,Barbarea,verna,Barbarea_verna,8
Brassicaceae,Barbarea,vulgaris,Barbarea_vulgaris,8
Brassicaceae,Barbarea,vulgaris R. BR.,Barbarea_vulgaris r. br.,8
Brassicaceae,Berteroa,Berteroa incana,Berteroa_berteroa incana,8
Brassicaceae,Berteroa,incana,Berteroa_incana,8
Brassicaceae,Berteroa,incana (L.) DC.,Berteroa_incana (l.) dc.,8
Brassicaceae,Berteroa,mutabilis,Berteroa_mutabilis,8
Brassicaceae,Berteroa,obliqua,Berteroa_obliqua,8
