Class,Order,Family,Genus,species,2N,haploid
Reptilia,Iguania,Agamidae,Physignathus,Physignathus_cocincinus,36,18
Reptilia,Iguania,Agamidae,Physignathus,Physignatus_lesuerii,36,18
Reptilia,Iguania,Agamidae,Pogona,Pogona_barbata,32,16
Reptilia,Iguania,Agamidae,Pogona,Pogona_vitticeps,32,16
Reptilia,Iguania,Agamidae,Psammophilus,Psammophilus_dorsalis,32,16
Reptilia,Iguania,Agamidae,Pseudotrapelus,Pseudotrapelus_sinaitus,44,22
Reptilia,Iguania,Agamidae,Ptyctolaemus,Ptyctolaemus_gularis,34,17
Reptilia,Iguania,Agamidae,Rankinia,Rankinia_diemensis,32,16
Reptilia,Iguania,Agamidae,Saara,Saara_hardwickii,"36,34","18,17"
Reptilia,Iguania,Agamidae,Sitana,Sitana_ponticeriana,"45,46,44","23,22"
Reptilia,Iguania,Agamidae,Stellagama,Stellagama_stellio,"36,34","18,17"
Reptilia,Iguania,Agamidae,Trapelus,Trapelus_agilis,46,23
Reptilia,Iguania,Agamidae,Trapelus,Trapelus_megalonyx,46,23
Reptilia,Iguania,Agamidae,Trapelus,Trapelus_mutabilis,46,23
Reptilia,Iguania,Agamidae,Trapelus,Trapelus_ruderatus,46,23
Reptilia,Iguania,Agamidae,Trapelus,Trapelus_sanguinolentus,46,23
Reptilia,Iguania,Agamidae,Trapelus,Trapelus_savignii,46,23
Reptilia,Iguania,Agamidae,Trapelus,Trapelus_tournevillei,44,22
Reptilia,Iguania,Agamidae,Tympanocryptis,Tympanocryptis_tetraporophora,32,16
Reptilia,Iguania,Agamidae,Uromastyx,Uromastyx_aegyptia,34,17
Reptilia,Iguania,Agamidae,Uromastyx,Uromastyx_ornata,36,18
Reptilia,Iguania,Chamaeleonidae,Bradypodion,Bradypodion_damaranum,34,17
Reptilia,Iguania,Chamaeleonidae,Bradypodion,Bradypodion_dracomontanum,34,17
Reptilia,Iguania,Chamaeleonidae,Bradypodion,Bradypodion_gutturale,34,17
Reptilia,Iguania,Chamaeleonidae,Bradypodion,Bradypodion_melanocephalum,34,17
Reptilia,Iguania,Chamaeleonidae,Bradypodion,Bradypodion_pumilum,34,17
Reptilia,Iguania,Chamaeleonidae,Bradypodion,Bradypodion_setaroi,34,17
Reptilia,Iguania,Chamaeleonidae,Bradypodion,Bradypodion_thamnobates,34,17
Reptilia,Iguania,Chamaeleonidae,Bradypodion,Bradypodion_transvaalense,34,17
Reptilia,Iguania,Chamaeleonidae,Bradypodion,Bradypodion_ventrale,34,17
Reptilia,Iguania,Chamaeleonidae,Brookesia,Brookesia_stumpffi,36,18
Reptilia,Iguania,Chamaeleonidae,Calumma,Calumma_boettgeri,28,14
Reptilia,Iguania,Chamaeleonidae,Calumma,Calumma_brevicorne,32,16
Reptilia,Iguania,Chamaeleonidae,Calumma,Calumma_gallus,34,17
Reptilia,Iguania,Chamaeleonidae,Calumma,Calumma_gastrotaenia,36,18
Reptilia,Iguania,Chamaeleonidae,Calumma,Calumma_globifer,36,18
Reptilia,Iguania,Chamaeleonidae,Calumma,Calumma_nasutum,34,17
Reptilia,Iguania,Chamaeleonidae,Calumma,Calumma_oshaughnessyi,36,18
Reptilia,Iguania,Chamaeleonidae,Calumma,Calumma_parsonii,36,18
Reptilia,Iguania,Chamaeleonidae,Chamaeleo,Chamaeleo_africanus,24,12
Reptilia,Iguania,Chamaeleonidae,Chamaeleo,Chamaeleo_chamaeleon,24,12
Reptilia,Iguania,Chamaeleonidae,Chamaeleo,Chamaeleo_dilepis,24,12
Reptilia,Iguania,Chamaeleonidae,Chamaeleo,Chamaeleo_namaquensis,24,12
Reptilia,Iguania,Chamaeleonidae,Chamaeleo,Chamaeleo_senegalensis,24,12
Reptilia,Iguania,Chamaeleonidae,Chamaeleo,Chamaeleo_zeylanicus,24,12
Reptilia,Iguania,Chamaeleonidae,Furcifer,Furcifer_angeli,22,11
Reptilia,Iguania,Chamaeleonidae,Furcifer,Furcifer_antimena,24,12
Reptilia,Iguania,Chamaeleonidae,Furcifer,Furcifer_campani,26,13
Reptilia,Iguania,Chamaeleonidae,Furcifer,Furcifer_cephalolepis,28,14
Reptilia,Iguania,Chamaeleonidae,Furcifer,Furcifer_labordi,24,12
Reptilia,Iguania,Chamaeleonidae,Furcifer,Furcifer_lateralis,24,12
Reptilia,Iguania,Chamaeleonidae,Furcifer,Furcifer_oustaleti,22,11
Reptilia,Iguania,Chamaeleonidae,Furcifer,Furcifer_pardalis,22,11
Reptilia,Iguania,Chamaeleonidae,Furcifer,Furcifer_polleni,24,12
Reptilia,Iguania,Chamaeleonidae,Furcifer,Furcifer_rhinoceratus,22,11
Reptilia,Iguania,Chamaeleonidae,Furcifer,Furcifer_verrucosus,22,11
Reptilia,Iguania,Chamaeleonidae,Furcifer,Furcifer_willsii,28,14
Reptilia,Iguania,Chamaeleonidae,Palleon,Palleon_nasus,32,16
Reptilia,Iguania,Chamaeleonidae,Rhampholeon,Rampholeon_marshalli,20,10
Reptilia,Iguania,Chamaeleonidae,Rhampholeon,Rampholeon_spectrum,20,10
Reptilia,Iguania,Chamaeleonidae,Trioceros,Trioceros_bitaeniatus,24,12
Reptilia,Iguania,Chamaeleonidae,Trioceros,Trioceros_cristatus,36,18
Reptilia,Iguania,Chamaeleonidae,Trioceros,Trioceros_hoehnelii,24,12
Reptilia,Iguania,Chamaeleonidae,Trioceros,Trioceros_jacksonii,24,12
Reptilia,Iguania,Chamaeleonidae,Trioceros,Trioceros_oweni,36,18
Reptilia,Iguania,Chamaeleonidae,Trioceros,Trioceros_quadricornis,36,18
Reptilia,Iguania,Chamaeleonidae,Trioceros,Trioceros_wiedersheimi,36,18
Reptilia,Iguania,Corytophanidae,Basiliscus,Basiliscus_vittatus,36,18
Reptilia,Iguania,Corytophanidae,Corytophanes,Corytophanes_cristatus,36,18
Reptilia,Iguania,Corytophanidae,Corytophanes,Corytophanes_hernandesii,36,18
Reptilia,Iguania,Crotaphytidae,Crotaphytus,Crotaphytus_collaris,"36,36,37,38","18,19"
Reptilia,Iguania,Crotaphytidae,Gambelia,Gambelia_sila,36,18
Reptilia,Iguania,Crotaphytidae,Gambelia,Gambelia_wislizenii,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_acutus,31,16
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_aeneus,34,17
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_agassizi,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_allisoni,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_angusticeps,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_argenteolus,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_auratus,30,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_barbouri,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_bartschi,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_bimaculatus,"29,30",15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_biporcatus,"30,29",15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_blanquillanus,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_bonairensis,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_capito,40,20
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_carolinensis,"34,36","16,17,18"
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_chlorocyanus,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_christophei,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_chrysolepis,30,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_coelestinus,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_conspersus,30,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_cooki,30,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_cristatellus,28,14
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_cupreus,40,20
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_cuvieri,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_cybotes,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_distichus,34,17
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_equestris,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_etheridgei,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_evermanni,26,13
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_extremus,34,17
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_ferreus,"29,30",15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_frenatus,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_fuscoauratus,40,20
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_garmani,30,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_gingivinus,"30,29",15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_gracilipes,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_grahami,32,16
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_griseus,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_gundlachi,29,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_hendersoni,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_heterodermus,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_homolechis,28,14
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_humilis,40,20
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_insolitus,44,22
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_jacare,32,16
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_koopmani,40,20
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_krugi,29,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_leachii,"29,30",15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_limifrons,40,20
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_lineatopus,30,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_lineatus,30,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_lionotus,40,20
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_lividus,29,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_luciae,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_lucius,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_luteosignifer,28,14
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_marmoratus,"29,30",15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_maynardi,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_mestrei,28,14
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_monensis,29,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_monticola,46,23
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_nebulosus,30,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_nubilis,29,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_occultus,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_oculatus,32,16
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_olssoni,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_onca,30,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_opalinus,30,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_polylepis,40,20
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_poncensis,29,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_porcatus,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_porcus,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_pulchellus,29,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_quadriocellifer,28,14
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_ricordii,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_rimarum,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_roquet,34,17
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_rubribarbus,28,14
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_rupinae,39,20
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_sabanus,"29,30",15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_sagrei,28,14
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_scriptus,28,14
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_semilineatus,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_squamulatus,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_stratulus,29,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_trinitatis,36,18
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_tropidogaster,40,20
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_tropidolepis,40,20
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_tropidonotus,40,20
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_valencienni,30,15
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_vermiculatus,34,17
Reptilia,Iguania,Dactyloidae,Anolis,Anolis_wattsii,29,15
Reptilia,Iguania,Iguanidae,Conolophus,Conolophus_subcristatus,36,18
Reptilia,Iguania,Iguanidae,Ctenosaura,Ctenosaura_pectinata,36,18
Reptilia,Iguania,Iguanidae,Cyclura,Cyclura_cornuta,36,18
Reptilia,Iguania,Iguanidae,Dipsosaurus,Dipsosaurus_dorsalis,36,18
Reptilia,Iguania,Iguanidae,Iguana,Iguana_iguana,36,18
Reptilia,Iguania,Iguanidae,Sauromalus,Sauromalus_ater,36,18
Reptilia,Iguania,Iguanidae,Sauromalus,Sauromalus_hispidus,36,18
Reptilia,Iguania,Iguanidae,Sauromalus,Sauromalus_klauberi,36,18
Reptilia,Iguania,Iguanidae,Sauromalus,Sauromalus_varius,36,18
Reptilia,Iguania,Leiocephalidae,Leiocephalus,Leiocephalus_carinatus,34,17
Reptilia,Iguania,Leiocephalidae,Leiocephalus,Leiocephalus_raviceps,34,17
Reptilia,Iguania,Leiocephalidae,Leiocephalus,Leiocephalus_schreibersii,36,18
Reptilia,Iguania,Leiosauridae,Anisolepis,Anisolepis_grilli,36,18
Reptilia,Iguania,Leiosauridae,Enyalius,Enyalius_bibronii,36,18
Reptilia,Iguania,Leiosauridae,Enyalius,Enyalius_bilineatus,36,18
Reptilia,Iguania,Leiosauridae,Enyalius,Enyalius_boulengeri,36,18
Reptilia,Iguania,Leiosauridae,Enyalius,Enyalius_catenatus,34,17
Reptilia,Iguania,Leiosauridae,Enyalius,Enyalius_iheringii,36,18
Reptilia,Iguania,Leiosauridae,Enyalius,Enyalius_leechii,36,18
Reptilia,Iguania,Leiosauridae,Enyalius,Enyalius_perditus,36,18
Reptilia,Iguania,Leiosauridae,Pristidactylus,Pristidactylus_achalensis,36,18
Reptilia,Iguania,Leiosauridae,Pristidactylus,Pristidactylus_torquatus,34,17
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_alticolor,30,15
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_andinus,32,16
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_bellii,32,16
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_christiani,32,16
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_curicensis,"34,32","16,17"
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_cyanogaster,34,17
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_fitzingerii,36,18
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_fuscus,32,16
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_gravenhorstii,32,16
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_jamesi,34,17
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_kuhlmanni,38,19
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_lemniscatus,34,17
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_leopardinus,30,15
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_lutzae,34,17
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_maldonadae,32,16
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_monticola,"34,32","16,17"
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_nigromaculatus,40,20
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_nigroviridis,34,17
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_nitidus,30,15
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_occipitalis,34,17
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_ornatus,32,16
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_pictus,34,17
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_platei,42,21
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_pseudolemniscatus,44,22
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_saxatilis,32,16
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_schroederi,32,16
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_tenuis,32,16
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_wiegmannii,34,17
Reptilia,Iguania,Liolaemidae,Liolaemus,Liolaemus_zapallarensis,38,19
Reptilia,Iguania,Liolaemidae,Phymaturus,Phymaturus_palluma,36,18
Reptilia,Iguania,Opluridae,Oplurus,Oplurus_cuvieri,36,18
Reptilia,Iguania,Phrynosomatidae,Callisaurus,Callisaurus_draconoides,34,17
Reptilia,Iguania,Phrynosomatidae,Cophosaurus,Cophosaurus_texanus,34,"18,19,17"
Reptilia,Iguania,Phrynosomatidae,Holbrookia,Holbrookia_lacerata,34,17
Reptilia,Iguania,Phrynosomatidae,Holbrookia,Holbrookia_maculata,34,17
Reptilia,Iguania,Phrynosomatidae,Holbrookia,Holbrookia_propinqua,34,17
Reptilia,Iguania,Phrynosomatidae,Petrosaurus,Petrosaurus_mearnsi,34,17
Reptilia,Iguania,Phrynosomatidae,Phrynosoma,Phrynosoma_cornutum,"34,36","17,18"
Reptilia,Iguania,Phrynosomatidae,Phrynosoma,Phrynosoma_coronatum,34,17
Reptilia,Iguania,Phrynosomatidae,Phrynosoma,Phrynosoma_douglasii,34,17
Reptilia,Iguania,Phrynosomatidae,Phrynosoma,Phrynosoma_mcallii,34,17
Reptilia,Iguania,Phrynosomatidae,Phrynosoma,Phrynosoma_modestum,34,17
Reptilia,Iguania,Phrynosomatidae,Phrynosoma,Phrynosoma_platyrhinos,34,17
Reptilia,Iguania,Phrynosomatidae,Phrynosoma,Phrynosoma_solare,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_adleri,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_aeneus,24,12
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_anahuacus,30,15
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_arenicolus,30,15
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_asper,32,16
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_bulleri,32,16
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_cautus,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_chrysostictus,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_clarkii,40,20
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_consobrinus,"30,22","14,15,16,17,11"
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_couchii,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_cowlesi,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_cozumelae,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_cryptus,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_cyanogenys,32,16
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_dugesii,32,16
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_edwardtaylori,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_exsul,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_formosus,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_gadoviae,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_goldmani,24,12
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_graciosus,30,15
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_grammicus,"32,32,31",16
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_grandaevus,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_heterolepis,32,16
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_horridus,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_hunsakeri,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_jalapae,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_jarrovii,32,16
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_licki,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_lundelli,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_maculosus,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_magister,26,13
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_megalepidurus,32,16
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_melanorhinus,40,20
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_merriami,46,23
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_mucronatus,32,16
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_nelsoni,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_occidentalis,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_ochoterenae,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_olivaceus,22,11
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_orcutti,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_ornatus,32,16
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_palaciosi,"30,34","15,17"
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_parvus,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_poinsettii,32,16
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_pyrocephalus,34,17
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_scalaris,"24,34","12,17"
Reptilia,Iguania,Phrynosomatidae,Sceloporus,Sceloporus_serrifer,32,16
