major_group,family,genus,genus,species,sporophytic,haploid
Angiosperms,Orchidaceae,Isotria,Isotria,Isotria_verticillata,18,9
Angiosperms,Orchidaceae,Isotria,Isotria,Isotria_verticillata,18,9
Angiosperms,Orchidaceae,Neottia,Neottia,Neottia_acuminata,18,9
Angiosperms,Orchidaceae,Nephelaphyllum,Nephelaphyllum,Nephelaphyllum_cordifolium,18+3-8B,9
Angiosperms,Orchidaceae,Ophrys,Ophrys,Ophrys_fusca,18,9
Angiosperms,Orchidaceae,Ophrys,Ophrys,Ophrys_fusca,18,9
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_boissierianum,18,9
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_boissierianum,18,9
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_boissierianum,18,9
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_boissierianum,18,9
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_vittatum,18,9
Angiosperms,Orchidaceae,Spathoglottis,Spathoglottis,Spathoglottis_plicata,18,9
Angiosperms,Orchidaceae,Spathoglottis,Spathoglottis,Spathoglottis_plicata,18,9
Angiosperms,Orchidaceae,Anacamptis,Anacamptis,Anacamptis_coriophora,20,10
Angiosperms,Orchidaceae,Anacamptis,Anacamptis,Anacamptis_coriophora,,10
Angiosperms,Orchidaceae,Anacamptis,Anacamptis,Anacamptis_coriophora,20,10
Angiosperms,Orchidaceae,Calanthe,Calanthe,Calanthe_speciosa,20,10
Angiosperms,Orchidaceae,Calanthe,Calanthe,Calanthe_sylvatica,20,10
Angiosperms,Orchidaceae,Callostylis,Callostylis,Callostylis_rigida,20,10
Angiosperms,Orchidaceae,Cymbidium,Cymbidium,Cymbidium_lowianum,20,10
Angiosperms,Orchidaceae,Cymbidium,Cymbidium,Cymbidium_tracyanum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_acaule,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_acaule,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_acaule,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_acaule,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_acaule,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_arietinum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_arietinum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_arietinum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_candidum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_candidum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_candidum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_cordigerum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_cordigerum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_cordigerum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_cordigerum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_cordigerum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_cordigerum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_cordigerum,,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_cordigerum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_cordigerum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_cordigerum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_cordigerum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_cordigerum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_cordigerum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_cordigerum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_debile,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_debile,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_debile,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_debile,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_debile,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_debile,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_elegans,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_fasciculatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_fasciculatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_flavum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_flavum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_formosanum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_formosanum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_formosanum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_guttatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_guttatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_guttatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_guttatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_guttatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_guttatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_guttatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_guttatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_guttatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_guttatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_guttatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_guttatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_guttatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_guttatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_guttatum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_himalaicum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_himalaicum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_himalaicum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_himalaicum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_himalaicum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_japonicum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_japonicum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_japonicum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_japonicum,,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_japonicum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_japonicum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_macranthos,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_macranthos,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_macranthos,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_macranthos,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_macranthos,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_macranthos,"20, 21",10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_macranthos,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_macranthos,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_macranthos,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_macranthos,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_macranthos,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_macranthos,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_macranthos,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_molle,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_parviflorum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_parviflorum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_parviflorum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_parviflorum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_parviflorum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_parviflorum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_parviflorum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_parviflorum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_parviflorum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_parviflorum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_parviflorum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_passerinum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_passerinum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_passerinum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_passerinum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_passerinum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_passerinum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_plectrochilum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_reginae,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_reginae,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_reginae,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_segawae,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_segawae,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_segawae,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_shanxiense,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_shanxiense,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_tibeticum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_tibeticum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_yatabeanum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_yatabeanum,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_yatabeanum,20,10
Angiosperms,Orchidaceae,Dactylorhiza,Dactylorhiza,Dactylorhiza_fuchsii,20,10
Angiosperms,Orchidaceae,Dactylorhiza,Dactylorhiza,Dactylorhiza_fuchsii,20,10
Angiosperms,Orchidaceae,Dactylorhiza,Dactylorhiza,Dactylorhiza_fuchsii,20,10
Angiosperms,Orchidaceae,Dactylorhiza,Dactylorhiza,Dactylorhiza_incarnata,20,10
Angiosperms,Orchidaceae,Dendrobium,Dendrobium,Dendrobium_ventricosum,20,10
Angiosperms,Orchidaceae,Epipactis,Epipactis,Epipactis_gigantea,20,10
Angiosperms,Orchidaceae,Epipactis,Epipactis,Epipactis_helleborine,20,10
Angiosperms,Orchidaceae,Gymnadenia,Gymnadenia,Gymnadenia_odoratissima,20,10
Angiosperms,Orchidaceae,Hetaeria,Hetaeria,Hetaeria_xenantha,20,10
Angiosperms,Orchidaceae,Hetaeria,Hetaeria,Hetaeria_xenantha,20,10
Angiosperms,Orchidaceae,Liparis,Liparis,Liparis_cordifolia,,10
Angiosperms,Orchidaceae,Liparis,Liparis,Liparis_cordifolia,,10
Angiosperms,Orchidaceae,Liparis,Liparis,Liparis_cordifolia,20,10
Angiosperms,Orchidaceae,Liparis,Liparis,Liparis_cordifolia,20,10
Angiosperms,Orchidaceae,Liparis,Liparis,Liparis_dunnii,20,10
Angiosperms,Orchidaceae,Liparis,Liparis,Liparis_glossula,,10
Angiosperms,Orchidaceae,Liparis,Liparis,Liparis_glossula,,10
Angiosperms,Orchidaceae,Liparis,Liparis,Liparis_glossula,,10
Angiosperms,Orchidaceae,Liparis,Liparis,Liparis_glossula,,10
Angiosperms,Orchidaceae,Liparis,Liparis,Liparis_glossula,20,10
Angiosperms,Orchidaceae,Neottia,Neottia,Neottia_cordata,"20,(34+6B)",10
Angiosperms,Orchidaceae,Nervilia,Nervilia,Nervilia_crociformis,20,10
Angiosperms,Orchidaceae,Nervilia,Nervilia,Nervilia_plicata,20,10
Angiosperms,Orchidaceae,Nervilia,Nervilia,Nervilia_plicata,20,10
Angiosperms,Orchidaceae,Nervilia,Nervilia,Nervilia_plicata,20,10
Angiosperms,Orchidaceae,Oberonia,Oberonia,Oberonia_caulescens,20,10
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_caricinum,20,10
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_longifolium,20,10
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_longifolium,20,10
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_longifolium,20+3f,10
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_longifolium,20+2f,10
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_longifolium,20+1f,10
Angiosperms,Orchidaceae,Pinalia,Pinalia,Pinalia_spicata,20+2B,10
Angiosperms,Orchidaceae,Pinalia,Pinalia,Pinalia_spicata,20,10
Angiosperms,Orchidaceae,Platanthera,Platanthera,Platanthera_ophrydioides,20,10
Angiosperms,Orchidaceae,Pleione,Pleione,Pleione_formosana,20+1B,10
Angiosperms,Orchidaceae,Pleione,Pleione,Pleione_formosana,20,10
Angiosperms,Orchidaceae,Selenipedium,Selenipedium,Selenipedium_aequinoctiale,20,10
Angiosperms,Orchidaceae,Specklinia,Specklinia,Specklinia_grobyi,20,10
Angiosperms,Orchidaceae,Spiranthes,Spiranthes,Spiranthes_sinensis,20,10
Angiosperms,Orchidaceae,Spiranthes,Spiranthes,Spiranthes_sinensis,20,10
Angiosperms,Orchidaceae,Spiranthes,Spiranthes,Spiranthes_sinensis,20,10
Angiosperms,Orchidaceae,Zeuxine,Zeuxine,Zeuxine_affinis,,10
Angiosperms,Orchidaceae,Zeuxine,Zeuxine,Zeuxine_affinis,,10
Angiosperms,Orchidaceae,Zeuxine,Zeuxine,Zeuxine_affinis,20,10
Angiosperms,Orchidaceae,Zeuxine,Zeuxine,Zeuxine_affinis,20,10
Angiosperms,Orchidaceae,Zeuxine,Zeuxine,Zeuxine_agyokuana,20,10
Angiosperms,Orchidaceae,Zeuxine,Zeuxine,Zeuxine_agyokuana,20,10
Angiosperms,Orchidaceae,Zeuxine,Zeuxine,Zeuxine_nervosa,20,10
Angiosperms,Orchidaceae,Zeuxine,Zeuxine,Zeuxine_odorata,20,10
Angiosperms,Orchidaceae,Zeuxine,Zeuxine,Zeuxine_parvifolia,20,10
Angiosperms,Orchidaceae,Zeuxine,Zeuxine,Zeuxine_parvifolia,20,10
Angiosperms,Orchidaceae,Zeuxine,Zeuxine,Zeuxine_strateumatica,,10
Angiosperms,Orchidaceae,Zeuxine,Zeuxine,Zeuxine_strateumatica,,10
Angiosperms,Orchidaceae,Zeuxine,Zeuxine,Zeuxine_strateumatica,20 to 100,10
Angiosperms,Orchidaceae,Zeuxine,Zeuxine,Zeuxine_strateumatica,20,10
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,22,11
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,22,11
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_calceolus,22,11
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_henryi,22,11
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_henryi,22,11
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_macranthos,22,11
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_macranthos,22,11
Angiosperms,Orchidaceae,Cypripedium,Cypripedium,Cypripedium_reginae,22,11
Angiosperms,Orchidaceae,Danhatchia,Danhatchia,Danhatchia_australis,22,11
Angiosperms,Orchidaceae,Erythrodes,Erythrodes,Erythrodes_hirsuta,,11
Angiosperms,Orchidaceae,Erythrodes,Erythrodes,Erythrodes_hirsuta,22,11
Angiosperms,Orchidaceae,Gastrodia,Gastrodia,Gastrodia_confusa,22,11
Angiosperms,Orchidaceae,Gastrodia,Gastrodia,Gastrodia_pubilabiata,22,11
Angiosperms,Orchidaceae,Goodyera,Goodyera,Goodyera_oblongifolia,22,11
Angiosperms,Orchidaceae,Goodyera,Goodyera,Goodyera_procera,22,11
Angiosperms,Orchidaceae,Goodyera,Goodyera,Goodyera_procera,22,11
Angiosperms,Orchidaceae,Goodyera,Goodyera,Goodyera_procera,22,11
Angiosperms,Orchidaceae,Goodyera,Goodyera,Goodyera_seikomontana,22,11
Angiosperms,Orchidaceae,Goodyera,Goodyera,Goodyera_viridiflora,22,11
Angiosperms,Orchidaceae,Goodyera,Goodyera,Goodyera_viridiflora,22,11
Angiosperms,Orchidaceae,Goodyera,Goodyera,Goodyera_viridiflora,22,11
Angiosperms,Orchidaceae,Goodyera,Goodyera,Goodyera_viridiflora,22,11
Angiosperms,Orchidaceae,Hetaeria,Hetaeria,Hetaeria_affinis,22,11
Angiosperms,Orchidaceae,Hetaeria,Hetaeria,Hetaeria_affinis,22,11
Angiosperms,Orchidaceae,Hetaeria,Hetaeria,Hetaeria_affinis,22,11
Angiosperms,Orchidaceae,Liparis,Liparis,Liparis_viridiflora,22+6B,11
Angiosperms,Orchidaceae,Liparis,Liparis,Liparis_viridiflora,22,11
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_lindleyanum,22,11
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_lindleyanum,22,11
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_lindleyanum,22,11
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_lindleyanum,22,11
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_lindleyanum,22,11
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_lindleyanum,22,11
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_longifolium,22,11
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_longifolium,22,11
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_pearcei,22,11
Angiosperms,Orchidaceae,Anoectochilus,Anoectochilus,Anoectochilus_formosanus,,12
Angiosperms,Orchidaceae,Calochilus,Calochilus,Calochilus_paludosus,24,12
Angiosperms,Orchidaceae,Calochilus,Calochilus,Calochilus_robertsonii,24,12
Angiosperms,Orchidaceae,Capanemia,Capanemia,Capanemia_micromera,,12
Angiosperms,Orchidaceae,Cephalanthera,Cephalanthera,Cephalanthera_rubra,24,12
Angiosperms,Orchidaceae,Chamorchis,Chamorchis,Chamorchis_alpina,24,12
Angiosperms,Orchidaceae,Conchidium,Conchidium,Conchidium_filiforme,24+5B,12
Angiosperms,Orchidaceae,Conchidium,Conchidium,Conchidium_filiforme,24+10B,12
Angiosperms,Orchidaceae,Conchidium,Conchidium,Conchidium_filiforme,24+5B,12
Angiosperms,Orchidaceae,Conchidium,Conchidium,Conchidium_filiforme,24+10B,12
Angiosperms,Orchidaceae,Conchidium,Conchidium,Conchidium_microchilos,24+9B,12
Angiosperms,Orchidaceae,Conchidium,Conchidium,Conchidium_microchilos,24+5B,12
Angiosperms,Orchidaceae,Epidendrum,Epidendrum,Epidendrum_fulgens,24,12
Angiosperms,Orchidaceae,Gastrodia,Gastrodia,Gastrodia_elata,,12
Angiosperms,Orchidaceae,Gastrodia,Gastrodia,Gastrodia_elata,,12
Angiosperms,Orchidaceae,Gastrodia,Gastrodia,Gastrodia_elata,24,12
Angiosperms,Orchidaceae,Hetaeria,Hetaeria,Hetaeria_affinis,24,12
Angiosperms,Orchidaceae,Hetaeria,Hetaeria,Hetaeria_oblongifolia,24,12
Angiosperms,Orchidaceae,Himantoglossum,Himantoglossum,Himantoglossum_hircinum,24,12
Angiosperms,Orchidaceae,Himantoglossum,Himantoglossum,Himantoglossum_hircinum,24,12
Angiosperms,Orchidaceae,Himantoglossum,Himantoglossum,Himantoglossum_hircinum,24,12
Angiosperms,Orchidaceae,Paphiopedilum,Paphiopedilum,Paphiopedilum_insigne,"21,24,27",12
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_besseae,24,12
Angiosperms,Orchidaceae,Phragmipedium,Phragmipedium,Phragmipedium_besseae,24,12
Angiosperms,Orchidaceae,Porpax,Porpax,Porpax_fibuliformis,24,12
Angiosperms,Orchidaceae,Porpax,Porpax,Porpax_jerdoniana,24,12
Angiosperms,Orchidaceae,Porpax,Porpax,Porpax_meirax,24,12
Angiosperms,Orchidaceae,Porpax,Porpax,Porpax_reticulata,24,12
Angiosperms,Orchidaceae,Serapias,Serapias,Serapias_lingua,,12
Angiosperms,Orchidaceae,Serapias,Serapias,Serapias_lingua,24,12
Angiosperms,Orchidaceae,Serapias,Serapias,Serapias_vomeracea,24,12
Angiosperms,Orchidaceae,Spiranthes,Spiranthes,Spiranthes_sinensis,24,12
Angiosperms,Orchidaceae,Spiranthes,Spiranthes,Spiranthes_sinensis,24,12
Angiosperms,Orchidaceae,Spiranthes,Spiranthes,Spiranthes_sinensis,24,12
Angiosperms,Orchidaceae,Spiranthes,Spiranthes,Spiranthes_sinensis,24,12
Angiosperms,Orchidaceae,Trichocentrum,Trichocentrum,Trichocentrum_albococcineum,24,12
Angiosperms,Orchidaceae,Trichocentrum,Trichocentrum,Trichocentrum_tigrinum,24,12
