Clade,Family,species,Genus,species,haploid
Angiosperms,Fabaceae,Anthyllis_hystrix,Anthyllis,hystrix,7
Angiosperms,Fabaceae,Anthyllis_lagascana,Anthyllis,lagascana,7
Angiosperms,Fabaceae,Anthyllis_lotoides,Anthyllis,lotoides,7
Angiosperms,Fabaceae,Anthyllis_montana,Anthyllis,montana,7
Angiosperms,Fabaceae,Anthyllis_onobrychoides,Anthyllis,onobrychoides,7
Angiosperms,Fabaceae,Anthyllis_polycephala,Anthyllis,polycephala,7
Angiosperms,Fabaceae,Anthyllis_ramburii,Anthyllis,ramburii,7
Angiosperms,Fabaceae,Anthyllis_tejedensis,Anthyllis,tejedensis,7
Angiosperms,Fabaceae,Anthyllis_terniflora,Anthyllis,terniflora,7
Angiosperms,Fabaceae,Anthyllis_vulneraria,Anthyllis,vulneraria,6
Angiosperms,Fabaceae,Antopetitia_abyssinica,Antopetitia,abyssinica,7
Angiosperms,Fabaceae,Aotus_ericoides,Aotus,ericoides,8
Angiosperms,Fabaceae,Apios_americana,Apios,americana,11
Angiosperms,Fabaceae,Apuleia_leiocarpa,Apuleia,leiocarpa,14
Angiosperms,Fabaceae,Arachis_appressipila,Arachis,appressipila,10
Angiosperms,Fabaceae,Arachis_batizocoi,Arachis,batizocoi,10
Angiosperms,Fabaceae,Arachis_batizogaea,Arachis,batizogaea,20
Angiosperms,Fabaceae,Arachis_benensis,Arachis,benensis,2
Angiosperms,Fabaceae,Arachis_chiquitana,Arachis,chiquitana,10
Angiosperms,Fabaceae,Arachis_correntina,Arachis,correntina,10
Angiosperms,Fabaceae,Arachis_diogoi,Arachis,diogoi,10
Angiosperms,Fabaceae,Arachis_duranensis,Arachis,duranensis,10
Angiosperms,Fabaceae,Arachis_glabrata,Arachis,glabrata,20
Angiosperms,Fabaceae,Arachis_herzogii,Arachis,herzogii,10
Angiosperms,Fabaceae,Arachis_hypogaea,Arachis,hypogaea,20
Angiosperms,Fabaceae,Arachis_kempff-mercadoi,Arachis,kempff-mercadoi,10
Angiosperms,Fabaceae,Arachis_major,Arachis,major,10
Angiosperms,Fabaceae,Arachis_matiensis,Arachis,matiensis,10
Angiosperms,Fabaceae,Arachis_monticola,Arachis,monticola,20
Angiosperms,Fabaceae,Arachis_prostrata,Arachis,prostrata,20
Angiosperms,Fabaceae,Arachis_subcoriacea,Arachis,subcoriacea,10
Angiosperms,Fabaceae,Arachis_triseminata,Arachis,triseminata,10
Angiosperms,Fabaceae,Arachis_villosa,Arachis,villosa,10
Angiosperms,Fabaceae,Arachis_villosulicarpa,Arachis,villosulicarpa,10
Angiosperms,Fabaceae,Argyrolobium_flaccidum,Argyrolobium,flaccidum,13
Angiosperms,Fabaceae,Argyrolobium_roseum,Argyrolobium,roseum,14
Angiosperms,Fabaceae,Argyrolobium_stenophyllum,Argyrolobium,stenophyllum,13
Angiosperms,Fabaceae,Argyrolobium_zanonii,Argyrolobium,zanonii,24
Angiosperms,Fabaceae,Aspalathus_linearis,Aspalathus,linearis,134
Angiosperms,Fabaceae,Astracantha_cretica,Astracantha,cretica,8
Angiosperms,Fabaceae,Astracantha_granatensis,Astracantha,granatensis,8
Angiosperms,Fabaceae,Astracantha_ptilocephala,Astracantha,ptilocephala,8
Angiosperms,Fabaceae,Astracantha_strobilifera,Astracantha,strobilifera,8
Angiosperms,Fabaceae,Astragalus_hispanicus,Astragalus,hispanicus,8
Angiosperms,Fabaceae,Astragalus_hamosus,Astragalus,hamosus,22
Angiosperms,Fabaceae,Astragalus_adsurgens,Astragalus,adsurgens,16
Angiosperms,Fabaceae,Astragalus_aegobromus,Astragalus,aegobromus,8
Angiosperms,Fabaceae,Astragalus_affghanus,Astragalus,affghanus,8
Angiosperms,Fabaceae,Astragalus_albulus,Astragalus,albulus,11
Angiosperms,Fabaceae,Astragalus_allochrous,Astragalus,allochrous,11
