Phylum,Class,Order,Family,Genus,species,haploid
Chordata,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus_vietnamensis,30
Chordata,Reptilia,Squamata,Gekkonidae,Heteronotia,Heteronotia_binoei,21
Chordata,Reptilia,Squamata,Gekkonidae,Homopholis,Homopholis_walbergii,18
Chordata,Reptilia,Squamata,Gekkonidae,Lepidodactylus,Lepidodactylus_listeri,22
Chordata,Reptilia,Squamata,Gekkonidae,Lepidodactylus,Lepidodactylus_lugubris,22
Chordata,Reptilia,Squamata,Gekkonidae,Lepidodactylus,Lepidodactylus_pumilus,22
Chordata,Reptilia,Squamata,Gekkonidae,Lygodactylus,Lygodactylus_picturatus,20
Chordata,Reptilia,Squamata,Gekkonidae,Mediodactylus,Mediodactylus_kotschyi,21
Chordata,Reptilia,Squamata,Gekkonidae,Mediodactylus,Mediodactylus_russowii,22
Chordata,Reptilia,Squamata,Gekkonidae,Mediodactylus,Mediodactylus_spinicauda,21
Chordata,Reptilia,Squamata,Gekkonidae,Nactus,Nactus_pelagicus,14
Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma_abbotti,18
Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma_cepediana,18
Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma_dubia,18
Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma_lineata,18
Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma_madagascariensis,18
Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma_pusilla,18
Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma_quadriocellata,18
Chordata,Reptilia,Squamata,Gekkonidae,Ptychozoon,Ptychozoon_kuhli,21
Chordata,Reptilia,Squamata,Gekkonidae,Stenodactylus,Stenodactylus_doriae,19
Chordata,Reptilia,Squamata,Gekkonidae,Stenodactylus,Stenodactylus_sthenodactylus,19
Chordata,Reptilia,Squamata,Gekkonidae,Tenuidactylus,Tenuidactylus_caspius,21
Chordata,Reptilia,Squamata,Gekkonidae,Tenuidactylus,Tenuidactylus_fedtschenkoi,21
Chordata,Reptilia,Squamata,Gekkonidae,Tenuidactylus,Tenuidactylus_longipes,21
Chordata,Reptilia,Squamata,Gekkonidae,Tenuidactylus,Tenuidactylus_turcmenicus,21
Chordata,Reptilia,Squamata,Gekkonidae,Tropiocolotes,Tropiocolotes_steudneri,19
