Order,Family,Genus,species,femalediploidnumber,malediploidnumber,sexchromosome,haploid
Orthoptera,Acrididae,Schistocerca,Schistocerca sp.,24,23,XO,12
Orthoptera,Acrididae,Scotussa,Scotussa cliens,22,21,XO,11
Orthoptera,Acrididae,Scotussa,Scotussa impudica,24,23,XO,12
Orthoptera,Acrididae,Scotussa,Scotussa lemniscata,24,23,XO,12
Orthoptera,Acrididae,Scotussa,Scotussa liebermanni,22,21,XO,11
Orthoptera,Acrididae,Scotussa,Scotussa sp. 1,24,23,XO,12
Orthoptera,Acrididae,Scyllina,Scyllina humilis,24,23,XO,12
Orthoptera,Acrididae,Scyllina,Scyllina sp.,24,23,XO,12
Orthoptera,Acrididae,Scyllinops,Scyllinops brunneri,24,23,XO,12
Orthoptera,Acrididae,Scyllinops,Scyllinops pallida,24,23,XO,12
Orthoptera,Acrididae,Scyllinops,Scyllinops sp. 1,24,23,XO,12
Orthoptera,Acrididae,Scyllinops,Scyllinops sp. 2,24,23,XO,12
Orthoptera,Acrididae,Silvitettix,Silvitettix concolor,24,23,XO,12
Orthoptera,Acrididae,Sinipta,Sinipta acuta,24,23,XO,12
Orthoptera,Acrididae,Sinipta,Sinipta dalmani,24,23,XO,12
Orthoptera,Acrididae,Sinipta,Sinipta maldonadoi,24,23,XO,12
Orthoptera,Acrididae,Sitalces,Sitalces dorsalis,24,23,XO,12
Orthoptera,Acrididae,Sitalces,Sitalces infuscatus,24,23,XO,12
Orthoptera,Acrididae,Sitalces,Sitalces volxemi,20,19,XO,10
Orthoptera,Acrididae,Staurorhectus,Staurorhectus longicornis,24,23,XO,12
Orthoptera,Acrididae,Stenopola,Stenopola bohlsii,24,23,XO,12
Orthoptera,Acrididae,Stenopola,Stenopola boliviana,24,23,XO,12
Orthoptera,Acrididae,Stenopola,Stenopola dorsalis,24,23,XO,12
Orthoptera,Acrididae,Stenopola,Stenopola pallida,22,21,XO,11
Orthoptera,Acrididae,Stenopola,Stenopola rubrifons,24,23,XO,12
Orthoptera,Acrididae,Stereotettix,Stereotettix sp. 1,24,23,XO,12
Orthoptera,Acrididae,Tetrataenia,Tetrataenia surinama,20,19,XO,10
Orthoptera,Acrididae,Trimerotropis,Trimerotropis ochraceipennis,24,23,XO,12
Orthoptera,Acrididae,Trimerotropis,Trimerotropis pallidipennis,24,23,XO,12
Orthoptera,Acrididae,Xiphiola,Xiphiola borellii,24,23,XO,12
Orthoptera,Ommexechidae,Aucacris,Aucacris bullocki,24,23,XO,12
Orthoptera,Ommexechidae,Calcitrena,Calcitrena maculosa,24,23,XO,12
Orthoptera,Ommexechidae,Clarazella,Clarazella bimaculata,24,23,XO,12
Orthoptera,Ommexechidae,Clarazella,Clarazella patagona,24,23,XO,12
Orthoptera,Ommexechidae,Conometopus,Conometopus sulcaticollis,26,25,XO,13
Orthoptera,Ommexechidae,Cumainocloidus,Cumainocloidus cordillerae,24,23,XO,12
Orthoptera,Ommexechidae,Descampsacris,Descampsacris serrulata,24,23,XO,12
Orthoptera,Ommexechidae,Graea,Graea horrida,24,23,XO,12
Orthoptera,Ommexechidae,Ommexecha,Ommexecha sp.,24,23,XO,12
Orthoptera,Ommexechidae,Ommexecha,Ommexecha virens,24,23,XO,12
Orthoptera,Ommexechidae,Ommexechia,Ommexechia germari,22,21,XO,11
Orthoptera,Ommexechidae,Tetrixocephalus,Tetrixocephalus chilensis,24,23,XO,12
Orthoptera,Ommexechidae,Tetrixocephalus,Tetrixocephalus micropterus,24,23,XO,12
Orthoptera,Ommexechidae,Tetrixocephalus,Tetrixocephalus sergioi,24,23,XO,12
Orthoptera,Ommexechidae,Tetrixocephalus,Tetrixocephalus sp.,24,23,XO,12
Orthoptera,Pauliniidae,Marellia,Marellia remipes,24,23,XO,12
Orthoptera,Pauliniidae,Paulinia,Paulinia acuminata,24,23,XO,12
Orthoptera,Pyrgomorphidae,Omura,Omura congrua,20,19,XO,10
Orthoptera,Romaleidae,Alcamenes,Alcamenes clarazianus,24,23,XO,12
Orthoptera,Romaleidae,Antandrus,Antandrus viridus,24,23,XO,12
Orthoptera,Romaleidae,Chariacris,Chariacris miniacea,24,23,XO,12
Orthoptera,Romaleidae,Chromacris,Chromacris miles,24,23,XO,12
Orthoptera,Romaleidae,Chromacris,Chromacris peruviana,24,23,XO,12
Orthoptera,Romaleidae,Chromacris,Chromacris speciosa,24,23,XO,12
Orthoptera,Romaleidae,Coryacris,Coryacris angustipennis,24,23,XO,12
Orthoptera,Romaleidae,Diponthus,Diponthus clarazianus,24,23,XO,12
Orthoptera,Romaleidae,Diponthus,Diponthus dispar,22,21,XO,11
Orthoptera,Romaleidae,Diponthus,Diponthus electus,22,21,XO,11
Orthoptera,Romaleidae,Diponthus,Diponthus maculiferus,22,21,XO,11
Orthoptera,Romaleidae,Diponthus,Diponthus prope communis,24,23,XO,12
Orthoptera,Romaleidae,Diponthus,Diponthus sp.,24,23,XO,12
Orthoptera,Romaleidae,Elaeochlora,Elaeochlora basalis,24,23,XO,12
Orthoptera,Romaleidae,Elaeochlora,Elaeochlora brachyptera,24,23,XO,12
Orthoptera,Romaleidae,Elaeochlora,Elaeochlora sp.,24,23,XO,12
Orthoptera,Romaleidae,Elaeochlora,Elaeochlora trilineata,24,23,XO,12
Orthoptera,Romaleidae,Elaeochlora,Elaeochlora viridicata,24,23,XO,12
Orthoptera,Romaleidae,Eutropidacris,Eutropidacris collares,24,23,XO,12
Orthoptera,Romaleidae,Prionolopha,Prionolopha serrata,24,23,XO,12
Orthoptera,Romaleidae,Procolpia,Procolpia minor,24,23,XO,12
Orthoptera,Romaleidae,Securigera,Securigera acutangula,24,23,XO,12
Orthoptera,Romaleidae,Xestotrachelus,Xestotrachelus robustus,24,23,XO,12
Orthoptera,Romaleidae,Xyleus,Xyleus attenuatus,24,23,XO,12
Orthoptera,Romaleidae,Xyleus,Xyleus discoideus,24,23,XO,12
Orthoptera,Romaleidae,Xyleus,Xyleus gracilis,24,23,XO,12
Orthoptera,Romaleidae,Xyleus,Xyleus insignis,24,23,XO,12
Orthoptera,Romaleidae,Xyleus,Xyleus modestus,24,23,XO,12
Orthoptera,Romaleidae,Xyleus,Xyleus sp. 1,24,23,XO,12
Orthoptera,Romaleidae,Xyleus,Xyleus sp. 2,24,23,XO,12
Orthoptera,Romaleidae,Xyleus,Xyleus sp. 3,24,23,XO,12
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda hempeli,24,23,XO,12
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda juncorum,24,23,XO,12
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda omnicolor,24,23,XO,12
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda similis,24,23,XO,12
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda tarsata,24,23,XO,12
Orthoptera,Tristiridae,Elysiacris,Elysiacris angusticollis,22,21,XO,11
Orthoptera,Tristiridae,Illapelia,Illapelia penai,24,23,XO,12
Orthoptera,Tristiridae,Peplacris,Peplacris recutita,22,21,XO,11
Orthoptera,Tristiridae,Tropidostethus,Tropidostethus bicarinatus,22,21,XO,11
Orthoptera,Acrididae,Chirista,Chirista compta,24,23,XO,12
Orthoptera,Acrididae,Coryphosima,Coryphosima stenoptera,24,23,XO,12
Orthoptera,Tettigoniidae,Isophya,Isophya altaica,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya andreevae,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya bureschi,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya camptoxypha,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya gulae,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya hospodat,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya kalishevskii,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya kisi,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya krausii,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya miksici,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya modesta longicaudata,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya modestior,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya obtusa,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya petkovi,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya pienensis,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya plevnensis,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya pravdini adamovici,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya pravdini pravdini,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya rammei,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya rectipennis,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya rhodopensis,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya schneideri,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya speciosa,32,31,XO,16
Orthoptera,Tettigoniidae,Isophya,Isophya tosevski,32,31,XO,16
