full_species,Genus,species,haploid
Phymatopsis_albidosquamata,Phymatopsis,albidosquamata,36
Phymatopteris_ebenipes,Phymatopteris,ebenipes,36
Phymatopteris_engleri,Phymatopteris,engleri,36
Phymatopteris_griffithiana,Phymatopteris,griffithiana,37
Phymatopteris_malacodon,Phymatopteris,malacodon,36
Phymatopteris_oxyloba,Phymatopteris,oxyloba,36
Phymatopteris_stracheyi,Phymatopteris,stracheyi,37
Phymatosorus_cuspidatus,Phymatosorus,cuspidatus,37
Phymatosorus_longissimus,Phymatosorus,longissimus,37
Phymatosorus_lucidus,Phymatosorus,lucidus,37
Phymatosorus_membranifolium,Phymatosorus,membranifolium,36
Phymatosorus_membranifolius,Phymatosorus,membranifolius,36
Phymatosorus_scandens,Phymatosorus,scandens,36
Phymatosorus_scolopendria,Phymatosorus,scolopendria,72
Phymatosorus_vieillardii,Phymatosorus,vieillardii,36
Platycerium_alcicorne,Platycerium,alcicorne,37
Platycerium_bifurcatum,Platycerium,bifurcatum,37
Pleopeltis_himalayensis,Pleopeltis,himalayensis,36
Pleopeltis_angusta,Pleopeltis,angusta,37
Pleopeltis_astrolepis,Pleopeltis,astrolepis,74
Pleopeltis_grandidentata,Pleopeltis,grandidentata,78
Pleopeltis_hachijoensis,Pleopeltis,hachijoensis,25
Pleopeltis_macrocarpa,Pleopeltis,macrocarpa,35
Pleopeltis_mortonianus,Pleopeltis,mortonianus,37
Pleopeltis_pleopeltifolia,Pleopeltis,pleopeltifolia,35
Pleopeltis_remota,Pleopeltis,remota,74
Pleopeltis_wiesbaurii,Pleopeltis,wiesbaurii,35
Pleurosoriopsis_makinoi,Pleurosoriopsis,makinoi,72
Polypodiastrum_argutum,Polypodiastrum,argutum,35
Polypodiodes_amoena,Polypodiodes,amoena,36
Polypodiodes_chinensis,Polypodiodes,chinensis,37
Polypodiodes_formosana,Polypodiodes,formosana,37
Polypodiodes_lachnopus,Polypodiodes,lachnopus,37
Polypodiodes_microrhizoma,Polypodiodes,microrhizoma,36
Polypodiodes_niponica,Polypodiodes,niponica,37
Polypodium_scolopendrium,Polypodium,scolopendrium,36
Polypodium_lachnopus,Polypodium,lachnopus,37
Polypodium_appalachianum,Polypodium,appalachianum,37
Polypodium_arcanum,Polypodium,arcanum,37
Polypodium_australe,Polypodium,australe,37
Polypodium_californicum,Polypodium,californicum,74
Polypodium_calirhiza,Polypodium,calirhiza,2
Polypodium_cambricum,Polypodium,cambricum,37
Polypodium_dissimile,Polypodium,dissimile,37
Polypodium_dulce,Polypodium,dulce,74
Polypodium_echinolepis,Polypodium,echinolepis,37
Polypodium_fauriei,Polypodium,fauriei,37
Polypodium_fraxinifolium,Polypodium,fraxinifolium,37
Polypodium_glycyrrhiza,Polypodium,glycyrrhiza,37
Polypodium_hesperium,Polypodium,hesperium,74
Polypodium_hispidulum,Polypodium,hispidulum,37
Polypodium_interjectum,Polypodium,interjectum,111
Polypodium_loriceum,Polypodium,loriceum,37
Polypodium_macaronesicum,Polypodium,macaronesicum,37
Polypodium_plebeium,Polypodium,plebeium,37
Polypodium_plesiosorum,Polypodium,plesiosorum,37
Polypodium_polypodioides,Polypodium,polypodioides,74
Polypodium_ptilodon,Polypodium,ptilodon,37
Polypodium_rhodopleuron,Polypodium,rhodopleuron,37
Polypodium_rosei,Polypodium,rosei,37
Polypodium_saximontanum,Polypodium,saximontanum,74
Polypodium_scouleri,Polypodium,scouleri,37
