"Order","Family","species","Meioformula","X","hapauto","scs","haploid"
"Coleoptera","Carabidae","Carabus_blaptoides","2n","28M",13,"Xyr",14
"Coleoptera","Carabidae","Carabus_blaptoides_blaptoides","2n","28M",13,"Xyr",14
"Coleoptera","Carabidae","Carabus_blaptoides_lewisii","2n","28M",13,"Xyr",14
"Coleoptera","Carabidae","Carabus_blaptoides_oxuroides","2n","28M",13,"Xyr",14
"Coleoptera","Carabidae","Carabus_blaptoides_rugipennis","2n","28M",13,"Xyr",14
"Coleoptera","Carabidae","Carabus_caelatus_schreiberi","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_cancellatus","2n","27M",13,"XO",14
"Coleoptera","Carabidae","Carabus_cancellatus_cancellatus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_cancellatus_celticus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_coarctatus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_coriaceus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_coriaceus_coriaceus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_creutzeri_kircheri","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_creutzeri_rildoi","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_croaticus_croaticus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_depressus_bonellii","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_deyrollei","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_dufouri","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_errans","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_faustus_faustus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_fruhstorferi","2n","28M",13,"Xyr",14
"Coleoptera","Carabidae","Carabus_ghiliani","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_glabratus","2n","25M",12,"XO",13
"Coleoptera","Carabidae","Carabus_glabratus_glabratus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_granulatus","2n","17M",8,"XO",9
"Coleoptera","Carabidae","Carabus_guadarramus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_hispanus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_hortensis_hortensis","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_intricatus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_intricatus_intricatus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_lineatus_basilicus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_lineatus_lateralis","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_lineatus_lineatus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_lusitanicus_brevis","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_macrocephalus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_melancholicus_costatus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_monticola","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_morbillosus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_nemoralis","2n","27M",13,"XO",14
"Coleoptera","Carabidae","Carabus_nemoralis","2n","29M",14,"XO",15
"Coleoptera","Carabidae","Carabus_nemoralis_nemoralis","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_nitens","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_problematicus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_problematicus_gallicus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_punctatoauratus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_punctatoauratus","2n","29M",14,"XO",15
"Coleoptera","Carabidae","Carabus_purpurascens","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_purpurascens_fulgens","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_pyreeus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_pyreeus_pyreeus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_rugosus","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carabus_rutilans","2n","29M",14,"XO",15
"Coleoptera","Carabidae","Carabus_serratus","2n","26M",12,"NeoXY",13
"Coleoptera","Carabidae","Carabus_solieri","2n","27M",13,"XO",14
"Coleoptera","Carabidae","Carabus_splendens","2n","29M",14,"XO",15
"Coleoptera","Carabidae","Carabus_splendens","2n","29M",14,"XO",15
"Coleoptera","Carabidae","Carabus_splendens_splendens","2n","28M",13,"XY",14
"Coleoptera","Carabidae","Carenum_interruptum","2n","24M",11,"XY",12
