Genus,species,haploid
Saproscincus,Saproscincus_czechurai,15
Saproscincus,Saproscincus_mustelinus,15
Scincella,Scincella_lateralis,15
Scincus,Scincus_hemprichii,18
Scincus,Scincus_scincus,16
Sphenomorphus,Sphenomorphus_incognitus,15
Sphenomorphus,Sphenomorphus_indicus,14
Tiliqua,Tiliqua_gigas,16
Tiliqua,Tiliqua_multifasciata,16
Tiliqua,Tiliqua_nigrolutea,16
Tiliqua,Tiliqua_occipitalis,16
Tiliqua,Tiliqua_rugosa,16
Tiliqua,Tiliqua_scincoides,16
Trachylepis,Trachylepis_affinis,16
Trachylepis,Trachylepis_aurata,16
Trachylepis,Trachylepis_capensis,16
Trachylepis,Trachylepis_maculilabris,16
Trachylepis,Trachylepis_quinquetaeniata,"16,17"
Trachylepis,Trachylepis_septemtaeniata,16
Trachylepis,Trachylepis_varia,16
Trachylepis,Trachylepis_vittata,14
Tribolonotus,Tribolonotus_gracilis,16
Tropidophorus,Tropidophorus_beccarii,15
Tropidophorus,Tropidophorus_brookei,14
Lepidophyma,Lepidophyma_dontomasi,16
Lepidophyma,Lepidophyma_flavimaculatum,19
Lepidophyma,Lepidophyma_gaigeae,19
Lepidophyma,Lepidophyma_micropholis,18
Lepidophyma,Lepidophyma_occulor,18
Lepidophyma,Lepidophyma_pajapanensis,19
Lepidophyma,Lepidophyma_smithii,18
Lepidophyma,Lepidophyma_sylvaticum,18
Lepidophyma,Lepidophyma_tuxtlae,19
Xantusia,Xantusia_henshawi,"21,20"
Xantusia,Xantusia_riversiana,20
Xantusia,Xantusia_vigilis,20
